id,report_id,occurred_at,message
"1","1001","2025-09-08T21:33:19.531Z","Report created"
"2","1001","2025-09-08T21:33:19.531Z","Auto-routed: priority=medium, department=public works"
"5","1001","2025-09-08T21:35:40.621Z","Status changed to in_progress"
"6","1001","2025-09-08T21:35:40.621Z","Reassigned to public_works"
"11","1001","2025-09-08T21:58:37.373Z","Status changed to rejected"
"12","1001","2025-09-08T21:58:37.373Z","Reassigned to public_works"
"13","1002","2025-09-09T02:41:57.913Z","Report created"
"14","1002","2025-09-09T02:41:57.913Z","Auto-routed: priority=medium, department=public works"
"23","1002","2025-09-09T02:42:55.430Z","Status changed to resolved"
"24","1002","2025-09-09T02:42:55.430Z","Reassigned to public_works"
"35","1002","2025-09-09T02:43:11.394Z","Status changed to in_progress"
"36","1002","2025-09-09T02:43:11.394Z","Reassigned to public_works"
"49","1002","2025-09-09T02:43:21.612Z","Status changed to rejected"
"50","1002","2025-09-09T02:43:21.612Z","Reassigned to public_works"
"51","1003","2025-09-09T02:57:38.308Z","Report created"
"52","1003","2025-09-09T02:57:38.308Z","Auto-routed: priority=medium, department=public works"
"69","1003","2025-09-09T03:09:26.448Z","Status changed to in_progress"
"70","1003","2025-09-09T03:09:26.448Z","Reassigned to public_works"
"89","1003","2025-09-09T03:09:41.015Z","Status changed to resolved"
"90","1003","2025-09-09T03:09:41.015Z","Reassigned to public_works"
"91","1004","2025-09-09T03:09:53.540Z","Report created"
"92","1004","2025-09-09T03:09:53.540Z","Auto-routed: priority=medium, department=public works"
"115","1004","2025-09-09T03:12:09.300Z","Status changed to in_progress"
"116","1004","2025-09-09T03:12:09.300Z","Reassigned to public_works"
"117","1005","2025-09-09T16:05:43.201Z","Report created"
"118","1005","2025-09-09T16:05:43.201Z","Auto-routed: priority=medium, department=public works"
